index,hight,width,estimate
0,5,1,3.7004132081028214
1,5,1,3.7004132081028214
2,5,1,3.7004132081028214
3,5,1,3.7004132081028214
4,5,1,3.7004132081028214
5,5,1,3.7004132081028214
6,5,1,3.7004132081028214
7,5,1,3.7004132081028214
8,4,2,3.7004132081028214
9,4,2,3.7004132081028214
10,4,2,3.7004132081028214
11,4,2,3.7004132081028214
12,4,2,3.7004132081028214
13,4,2,3.7004132081028214
14,4,2,3.7004132081028214
15,3,2,3.7004132081028214
16,3,2,3.7004132081028214
17,3,2,3.7004132081028214
18,4,2,3.7004132081028214
19,4,2,3.7004132081028214
20,3,2,3.7004132081028214
21,4,2,3.7004132081028214
22,3,2,3.7004132081028214
23,4,2,3.7004132081028214
24,4,2,3.7004132081028214
25,4,2,3.7004132081028214
26,4,2,3.7004132081028214
27,4,2,3.7004132081028214
28,3,2,3.7004132081028214
29,4,2,3.7004132081028214
30,4,2,3.7004132081028214
31,3,2,3.7004132081028214
32,4,2,3.7004132081028214
33,4,2,3.7004132081028214
34,3,2,3.7004132081028214
35,4,2,3.7004132081028214
36,3,3,3.7004132081028214
37,3,3,3.7004132081028214
38,3,3,3.7004132081028214
39,3,3,3.7004132081028214
40,3,3,3.7004132081028214
41,3,3,3.7004132081028214
42,3,3,3.7004132081028214
43,3,3,3.7004132081028214
44,2,4,3.7004132081028214
0,2

