index,hight,width,estimate
0,7,2,147.58048423350715
1,5,2,33.61176331886836
2,5,2,151.81365739014598
3,6,2,213.79661609211738
4,6,2,147.58048423350715
5,7,2,153.73499850103437
6,7,2,93.67338090995136
7,6,2,139.78383903997175
8,6,2,89.63545322074356
9,6,2,213.79661609211738
10,6,2,153.73499850103437
11,7,2,199.84545663105476
12,6,2,213.79661609211738
13,5,2,90.35790073504056
14,4,2,30.296283143957556
15,5,2,96.51241500256776
16,5,2,90.35790073504056
17,4,2,156.57403259365077
18,4,2,30.296283143957556
19,5,2,93.67338090995136
20,5,3,213.79661609211738
21,6,3,133.62932477244456
22,6,3,33.61176331886836
23,4,3,39.28983150410116
24,4,3,24.14176887643036
25,4,3,99.35144909518417
26,4,3,99.35144909518417
27,3,3,33.13531723657396
28,3,3,33.61176331886836
29,4,3,33.61176331886836
30,4,3,33.13531723657396
31,3,4,42.12886559671756
22,1,8,6
24,14,18,30
