index,hight,width,estimate
318,6,3,0.0
319,4,3,0.0
320,5,3,0.0
321,5,3,0.0
322,4,3,0.0
323,4,3,0.0
324,5,3,0.0
325,3,3,0.0
326,4,3,0.0
327,5,3,0.0
328,5,3,0.0
329,4,3,0.0
330,6,3,0.0
331,5,3,0.0
332,6,3,0.0
333,4,3,0.0
334,5,3,0.0
335,5,3,0.0
336,4,3,0.0
337,5,3,0.0
338,6,3,0.0
339,5,3,0.0
340,4,3,0.0
341,3,3,0.0
342,4,3,0.0
343,4,3,0.0
344,4,3,0.0
345,5,3,0.0
346,4,3,0.0
347,5,3,0.0
348,6,3,0.0
349,4,3,0.0
350,5,3,0.0
351,4,3,0.0
352,4,3,0.0
353,3,3,0.0
354,5,3,0.0
355,4,3,0.0
356,4,3,0.0
357,5,3,0.0
358,4,3,0.0
359,4,3,0.0
360,5,3,0.0
361,6,3,0.0
362,5,3,0.0
363,4,3,0.0
364,5,3,0.0
365,5,3,0.0
366,5,3,0.0
367,4,3,0.0
368,6,3,0.0
369,4,3,0.0
370,5,3,0.0
371,5,3,0.0
372,5,3,0.0
373,4,3,0.0
374,5,3,0.0
375,5,3,0.0
376,5,3,0.0
377,5,3,0.0
378,4,3,0.0
379,4,3,0.0
380,4,3,0.0
381,5,3,0.0
382,5,3,0.0
383,5,3,0.0
384,5,3,0.0
385,3,3,0.0
386,6,3,0.0
387,4,3,0.0
388,5,3,0.0
389,5,3,0.0
390,6,3,0.0
391,5,3,0.0
392,4,3,0.0
393,4,3,0.0
394,5,3,0.0
395,5,3,0.0
396,5,3,0.0
397,5,3,0.0
398,5,3,0.0
399,4,3,0.0
400,4,3,0.0
401,4,3,0.0
402,5,3,0.0
403,4,3,0.0
404,5,3,0.0
405,5,3,0.0
406,4,3,0.0
407,3,3,0.0
408,6,3,0.0
409,4,4,0.0
410,5,4,0.0
411,3,4,0.0
412,5,4,0.0
413,4,4,0.0
414,4,4,0.0
415,4,4,0.0
416,3,4,0.0
417,4,4,0.0
418,4,4,0.0
419,4,4,0.0
420,3,4,0.0
421,5,4,0.0
422,4,4,0.0
423,4,4,0.0
424,3,4,0.0
425,4,4,0.0
426,4,4,0.0
427,4,4,0.0
428,3,4,0.0
429,5,4,0.0
430,3,4,0.0
431,3,5,0.0
0,1

